aircraft_id,question,answer
A400M,What is the MannedOrUnmanned of A400M?,Unmanned
A400M,What is the InterestingFacts of A400M?,A400M has unique stealth tech.
A400M,What is the UniqueFeatures of A400M?,A400M supports vertical takeoff or special radar systems.
Su34,What is the Name of Su34?,Su34 Name
Su34,What is the FullDesignation of Su34?,Su34 Full Designation
Su34,What is the Manufacturer of Su34?,Sukhoi
Su34,What is the FirstIntroduced of Su34?,2005
Su34,What is the CountryOfOrigin of Su34?,China
Su34,What is the MaxSpeed of Su34?,1877 km/h
Su34,What is the Range of Su34?,10417 km
Su34,What is the ServiceCeiling of Su34?,20280 m
Su34,What is the EngineType of Su34?,Turbojet
Su34,What is the Weight of Su34?,"54326 kg (empty), 51016 kg (max)"
Su34,What is the Dimensions of Su34?,"18 m length, 46 m wingspan"
Su34,What is the Role of Su34?,Fighter
Su34,What is the SurveillanceCapable of Su34?,Yes
Su34,What is the NuclearCapable of Su34?,No
Su34,What is the WeaponsPayload of Su34?,Bombs
Su34,What is the TransportCapacity of Su34?,90 personnel or 43358 kg cargo
Su34,What is the Operators of Su34?,Global
Su34,What is the CombatHistory of Su34?,No
Su34,What is the NotableMissions of Su34?,Su34 participated in major operations.
Su34,What is the ActiveService of Su34?,No
Su34,What is the Comparison of Su34?,Su34 is often compared with F35.
Su34,What is the BetterThan of Su34?,Su34 is better than older gen aircraft.
Su34,What is the StealthCapable of Su34?,No
Su34,What is the DifferenceFrom of Su34?,Su34 differs from Su34 in design and avionics.
Su34,What is the MannedOrUnmanned of Su34?,Unmanned
Su34,What is the InterestingFacts of Su34?,Su34 has unique stealth tech.
Su34,What is the UniqueFeatures of Su34?,Su34 supports vertical takeoff or special radar systems.
Y20,What is the Name of Y20?,Y20 Name
Y20,What is the FullDesignation of Y20?,Y20 Full Designation
Y20,What is the Manufacturer of Y20?,Lockheed Martin
Y20,What is the FirstIntroduced of Y20?,1980
Y20,What is the CountryOfOrigin of Y20?,China
Y20,What is the MaxSpeed of Y20?,2853 km/h
Y20,What is the Range of Y20?,3386 km
Y20,What is the ServiceCeiling of Y20?,20992 m
Y20,What is the EngineType of Y20?,Rotary
Y20,What is the Weight of Y20?,"65971 kg (empty), 59858 kg (max)"
Y20,What is the Dimensions of Y20?,"40 m length, 43 m wingspan"
Y20,What is the Role of Y20?,Surveillance
Y20,What is the SurveillanceCapable of Y20?,Yes
Y20,What is the NuclearCapable of Y20?,Yes
Y20,What is the WeaponsPayload of Y20?,Machine Guns
Y20,What is the TransportCapacity of Y20?,42 personnel or 6804 kg cargo
Y20,What is the Operators of Y20?,"Russia, China"
Y20,What is the CombatHistory of Y20?,Yes
Y20,What is the NotableMissions of Y20?,Y20 participated in major operations.
Y20,What is the ActiveService of Y20?,No
Y20,What is the Comparison of Y20?,Y20 is often compared with F35.
Y20,What is the BetterThan of Y20?,Y20 is better than older gen aircraft.
Y20,What is the StealthCapable of Y20?,No
Y20,What is the DifferenceFrom of Y20?,Y20 differs from Su34 in design and avionics.
Y20,What is the MannedOrUnmanned of Y20?,Unmanned
Y20,What is the InterestingFacts of Y20?,Y20 has unique stealth tech.
Y20,What is the UniqueFeatures of Y20?,Y20 supports vertical takeoff or special radar systems.
KJ600,What is the Name of KJ600?,KJ600 Name
KJ600,What is the FullDesignation of KJ600?,KJ600 Full Designation
KJ600,What is the Manufacturer of KJ600?,Chengdu
KJ600,What is the FirstIntroduced of KJ600?,2020
KJ600,What is the CountryOfOrigin of KJ600?,Russia
KJ600,What is the MaxSpeed of KJ600?,2088 km/h
KJ600,What is the Range of KJ600?,12852 km
KJ600,What is the ServiceCeiling of KJ600?,21785 m
KJ600,What is the EngineType of KJ600?,Turbofan
KJ600,What is the Weight of KJ600?,"19635 kg (empty), 48675 kg (max)"
KJ600,What is the Dimensions of KJ600?,"11 m length, 23 m wingspan"
KJ600,What is the Role of KJ600?,Bomber
KJ600,What is the SurveillanceCapable of KJ600?,Yes
KJ600,What is the NuclearCapable of KJ600?,Yes
KJ600,What is the WeaponsPayload of KJ600?,Machine Guns
KJ600,What is the TransportCapacity of KJ600?,94 personnel or 1255 kg cargo
KJ600,What is the Operators of KJ600?,"France, Germany"
KJ600,What is the CombatHistory of KJ600?,No
KJ600,What is the NotableMissions of KJ600?,KJ600 participated in major operations.
KJ600,What is the ActiveService of KJ600?,No
KJ600,What is the Comparison of KJ600?,KJ600 is often compared with F35.
KJ600,What is the BetterThan of KJ600?,KJ600 is better than older gen aircraft.
KJ600,What is the StealthCapable of KJ600?,No
KJ600,What is the DifferenceFrom of KJ600?,KJ600 differs from Su34 in design and avionics.
KJ600,What is the MannedOrUnmanned of KJ600?,Unmanned
KJ600,What is the InterestingFacts of KJ600?,KJ600 has unique stealth tech.
KJ600,What is the UniqueFeatures of KJ600?,KJ600 supports vertical takeoff or special radar systems.
Mig29,What is the Name of Mig29?,Mig29 Name
Mig29,What is the FullDesignation of Mig29?,Mig29 Full Designation
Mig29,What is the Manufacturer of Mig29?,Airbus
Mig29,What is the FirstIntroduced of Mig29?,2010
Mig29,What is the CountryOfOrigin of Mig29?,Russia
Mig29,What is the MaxSpeed of Mig29?,2345 km/h
Mig29,What is the Range of Mig29?,3202 km
Mig29,What is the ServiceCeiling of Mig29?,13345 m
Mig29,What is the EngineType of Mig29?,Turbojet
Mig29,What is the Weight of Mig29?,"38711 kg (empty), 57788 kg (max)"
Mig29,What is the Dimensions of Mig29?,"26 m length, 30 m wingspan"
Mig29,What is the Role of Mig29?,Reconnaissance
Mig29,What is the SurveillanceCapable of Mig29?,Yes
Mig29,What is the NuclearCapable of Mig29?,Yes
Mig29,What is the WeaponsPayload of Mig29?,Torpedoes
Mig29,What is the TransportCapacity of Mig29?,55 personnel or 39281 kg cargo
Mig29,What is the Operators of Mig29?,"France, Germany"
Mig29,What is the CombatHistory of Mig29?,No
Mig29,What is the NotableMissions of Mig29?,Mig29 participated in major operations.
Mig29,What is the ActiveService of Mig29?,Yes
Mig29,What is the Comparison of Mig29?,Mig29 is often compared with F35.
Mig29,What is the BetterThan of Mig29?,Mig29 is better than older gen aircraft.
Mig29,What is the StealthCapable of Mig29?,No
Mig29,What is the DifferenceFrom of Mig29?,Mig29 differs from Su34 in design and avionics.
Mig29,What is the MannedOrUnmanned of Mig29?,Unmanned
Mig29,What is the InterestingFacts of Mig29?,Mig29 has unique stealth tech.
Mig29,What is the UniqueFeatures of Mig29?,Mig29 supports vertical takeoff or special radar systems.
B2,What is the Name of B2?,B2 Name
B2,What is the FullDesignation of B2?,B2 Full Designation
B2,What is the Manufacturer of B2?,Airbus
B2,What is the FirstIntroduced of B2?,1980
B2,What is the CountryOfOrigin of B2?,Russia
B2,What is the MaxSpeed of B2?,877 km/h
B2,What is the Range of B2?,4391 km
B2,What is the ServiceCeiling of B2?,19972 m
B2,What is the EngineType of B2?,Turbojet
B2,What is the Weight of B2?,"70196 kg (empty), 66421 kg (max)"
B2,What is the Dimensions of B2?,"39 m length, 15 m wingspan"
B2,What is the Role of B2?,Reconnaissance
B2,What is the SurveillanceCapable of B2?,Yes
B2,What is the NuclearCapable of B2?,No
B2,What is the WeaponsPayload of B2?,Machine Guns
B2,What is the TransportCapacity of B2?,2 personnel or 22269 kg cargo
B2,What is the Operators of B2?,"USA, UK"
B2,What is the CombatHistory of B2?,No
B2,What is the NotableMissions of B2?,B2 participated in major operations.
B2,What is the ActiveService of B2?,No
B2,What is the Comparison of B2?,B2 is often compared with F35.
B2,What is the BetterThan of B2?,B2 is better than older gen aircraft.
B2,What is the StealthCapable of B2?,No
B2,What is the DifferenceFrom of B2?,B2 differs from Su34 in design and avionics.
B2,What is the MannedOrUnmanned of B2?,Manned
B2,What is the InterestingFacts of B2?,B2 has unique stealth tech.
B2,What is the UniqueFeatures of B2?,B2 supports vertical takeoff or special radar systems.
F14,What is the Name of F14?,F14 Name
F14,What is the FullDesignation of F14?,F14 Full Designation
F14,What is the Manufacturer of F14?,Chengdu
F14,What is the FirstIntroduced of F14?,2010
F14,What is the CountryOfOrigin of F14?,China
F14,What is the MaxSpeed of F14?,2844 km/h
F14,What is the Range of F14?,9827 km
F14,What is the ServiceCeiling of F14?,17725 m
F14,What is the EngineType of F14?,Rotary
F14,What is the Weight of F14?,"51727 kg (empty), 133366 kg (max)"
F14,What is the Dimensions of F14?,"29 m length, 51 m wingspan"
F14,What is the Role of F14?,Transport
F14,What is the SurveillanceCapable of F14?,Yes
F14,What is the NuclearCapable of F14?,No
F14,What is the WeaponsPayload of F14?,Machine Guns
F14,What is the TransportCapacity of F14?,94 personnel or 37371 kg cargo
F14,What is the Operators of F14?,Global
F14,What is the CombatHistory of F14?,No
F14,What is the NotableMissions of F14?,F14 participated in major operations.
F14,What is the ActiveService of F14?,Yes
F14,What is the Comparison of F14?,F14 is often compared with F35.
F14,What is the BetterThan of F14?,F14 is better than older gen aircraft.
F14,What is the StealthCapable of F14?,No
F14,What is the DifferenceFrom of F14?,F14 differs from Su34 in design and avionics.
F14,What is the MannedOrUnmanned of F14?,Unmanned
F14,What is the InterestingFacts of F14?,F14 has unique stealth tech.
F14,What is the UniqueFeatures of F14?,F14 supports vertical takeoff or special radar systems.
Il76,What is the Name of Il76?,Il76 Name
Il76,What is the FullDesignation of Il76?,Il76 Full Designation
Il76,What is the Manufacturer of Il76?,Lockheed Martin
Il76,What is the FirstIntroduced of Il76?,2005
Il76,What is the CountryOfOrigin of Il76?,USA
Il76,What is the MaxSpeed of Il76?,1458 km/h
Il76,What is the Range of Il76?,10853 km
Il76,What is the ServiceCeiling of Il76?,12780 m
Il76,What is the EngineType of Il76?,Turbojet
Il76,What is the Weight of Il76?,"70977 kg (empty), 52669 kg (max)"
Il76,What is the Dimensions of Il76?,"36 m length, 52 m wingspan"
Il76,What is the Role of Il76?,Bomber
Il76,What is the SurveillanceCapable of Il76?,No
Il76,What is the NuclearCapable of Il76?,Yes
Il76,What is the WeaponsPayload of Il76?,Machine Guns
Il76,What is the TransportCapacity of Il76?,17 personnel or 29491 kg cargo
Il76,What is the Operators of Il76?,"Russia, China"
Il76,What is the CombatHistory of Il76?,No
Il76,What is the NotableMissions of Il76?,Il76 participated in major operations.
Il76,What is the ActiveService of Il76?,Yes
Il76,What is the Comparison of Il76?,Il76 is often compared with F35.
Il76,What is the BetterThan of Il76?,Il76 is better than older gen aircraft.
Il76,What is the StealthCapable of Il76?,No
Il76,What is the DifferenceFrom of Il76?,Il76 differs from Su34 in design and avionics.
Il76,What is the MannedOrUnmanned of Il76?,Unmanned
Il76,What is the InterestingFacts of Il76?,Il76 has unique stealth tech.
Il76,What is the UniqueFeatures of Il76?,Il76 supports vertical takeoff or special radar systems.
F35,What is the Name of F35?,F35 Name
F35,What is the FullDesignation of F35?,F35 Full Designation
F35,What is the Manufacturer of F35?,Chengdu
F35,What is the FirstIntroduced of F35?,1980
F35,What is the CountryOfOrigin of F35?,Russia
F35,What is the MaxSpeed of F35?,2659 km/h
F35,What is the Range of F35?,13105 km
F35,What is the ServiceCeiling of F35?,21565 m
F35,What is the EngineType of F35?,Turboprop
F35,What is the Weight of F35?,"77395 kg (empty), 86672 kg (max)"
F35,What is the Dimensions of F35?,"31 m length, 41 m wingspan"
F35,What is the Role of F35?,Reconnaissance
F35,What is the SurveillanceCapable of F35?,No
F35,What is the NuclearCapable of F35?,No
F35,What is the WeaponsPayload of F35?,Machine Guns
F35,What is the TransportCapacity of F35?,51 personnel or 48806 kg cargo
F35,What is the Operators of F35?,"USA, UK"
F35,What is the CombatHistory of F35?,No
F35,What is the NotableMissions of F35?,F35 participated in major operations.
F35,What is the ActiveService of F35?,Yes
F35,What is the Comparison of F35?,F35 is often compared with F35.
F35,What is the BetterThan of F35?,F35 is better than older gen aircraft.
F35,What is the StealthCapable of F35?,No
F35,What is the DifferenceFrom of F35?,F35 differs from Su34 in design and avionics.
F35,What is the MannedOrUnmanned of F35?,Unmanned
F35,What is the InterestingFacts of F35?,F35 has unique stealth tech.
F35,What is the UniqueFeatures of F35?,F35 supports vertical takeoff or special radar systems.
B1,What is the Name of B1?,B1 Name
B1,What is the FullDesignation of B1?,B1 Full Designation
B1,What is the Manufacturer of B1?,Airbus
B1,What is the FirstIntroduced of B1?,2020
B1,What is the CountryOfOrigin of B1?,Russia
B1,What is the MaxSpeed of B1?,2351 km/h
B1,What is the Range of B1?,2865 km
B1,What is the ServiceCeiling of B1?,24854 m
B1,What is the EngineType of B1?,Turbojet
B1,What is the Weight of B1?,"50392 kg (empty), 39870 kg (max)"
B1,What is the Dimensions of B1?,"21 m length, 20 m wingspan"
B1,What is the Role of B1?,Surveillance
B1,What is the SurveillanceCapable of B1?,Yes
B1,What is the NuclearCapable of B1?,Yes
B1,What is the WeaponsPayload of B1?,Machine Guns
B1,What is the TransportCapacity of B1?,6 personnel or 49480 kg cargo
B1,What is the Operators of B1?,"USA, UK"
B1,What is the CombatHistory of B1?,No
B1,What is the NotableMissions of B1?,B1 participated in major operations.
B1,What is the ActiveService of B1?,No
B1,What is the Comparison of B1?,B1 is often compared with F35.
B1,What is the BetterThan of B1?,B1 is better than older gen aircraft.
B1,What is the StealthCapable of B1?,Yes
B1,What is the DifferenceFrom of B1?,B1 differs from Su34 in design and avionics.
B1,What is the MannedOrUnmanned of B1?,Manned
B1,What is the InterestingFacts of B1?,B1 has unique stealth tech.
B1,What is the UniqueFeatures of B1?,B1 supports vertical takeoff or special radar systems.
AG600,What is the Name of AG600?,AG600 Name
AG600,What is the FullDesignation of AG600?,AG600 Full Designation
AG600,What is the Manufacturer of AG600?,Sukhoi
AG600,What is the FirstIntroduced of AG600?,2020
AG600,What is the CountryOfOrigin of AG600?,UK
AG600,What is the MaxSpeed of AG600?,1886 km/h
AG600,What is the Range of AG600?,10281 km
AG600,What is the ServiceCeiling of AG600?,17005 m
AG600,What is the EngineType of AG600?,Rotary
AG600,What is the Weight of AG600?,"15923 kg (empty), 49494 kg (max)"
AG600,What is the Dimensions of AG600?,"40 m length, 51 m wingspan"
AG600,What is the Role of AG600?,Reconnaissance
AG600,What is the SurveillanceCapable of AG600?,Yes
AG600,What is the NuclearCapable of AG600?,No
AG600,What is the WeaponsPayload of AG600?,Machine Guns
AG600,What is the TransportCapacity of AG600?,97 personnel or 4946 kg cargo
AG600,What is the Operators of AG600?,"USA, UK"
AG600,What is the CombatHistory of AG600?,Yes
AG600,What is the NotableMissions of AG600?,AG600 participated in major operations.
AG600,What is the ActiveService of AG600?,No
AG600,What is the Comparison of AG600?,AG600 is often compared with F35.
AG600,What is the BetterThan of AG600?,AG600 is better than older gen aircraft.
AG600,What is the StealthCapable of AG600?,No
AG600,What is the DifferenceFrom of AG600?,AG600 differs from Su34 in design and avionics.
AG600,What is the MannedOrUnmanned of AG600?,Unmanned
AG600,What is the InterestingFacts of AG600?,AG600 has unique stealth tech.
AG600,What is the UniqueFeatures of AG600?,AG600 supports vertical takeoff or special radar systems.
Ka52,What is the Name of Ka52?,Ka52 Name
Ka52,What is the FullDesignation of Ka52?,Ka52 Full Designation
Ka52,What is the Manufacturer of Ka52?,Airbus
Ka52,What is the FirstIntroduced of Ka52?,2020
Ka52,What is the CountryOfOrigin of Ka52?,USA
Ka52,What is the MaxSpeed of Ka52?,1577 km/h
Ka52,What is the Range of Ka52?,12198 km
Ka52,What is the ServiceCeiling of Ka52?,20509 m
Ka52,What is the EngineType of Ka52?,Turbofan
Ka52,What is the Weight of Ka52?,"66965 kg (empty), 140188 kg (max)"
Ka52,What is the Dimensions of Ka52?,"30 m length, 50 m wingspan"
Ka52,What is the Role of Ka52?,Reconnaissance
Ka52,What is the SurveillanceCapable of Ka52?,Yes
Ka52,What is the NuclearCapable of Ka52?,Yes
Ka52,What is the WeaponsPayload of Ka52?,Bombs
Ka52,What is the TransportCapacity of Ka52?,41 personnel or 26749 kg cargo
Ka52,What is the Operators of Ka52?,Global
Ka52,What is the CombatHistory of Ka52?,Yes
Ka52,What is the NotableMissions of Ka52?,Ka52 participated in major operations.
Ka52,What is the ActiveService of Ka52?,No
Ka52,What is the Comparison of Ka52?,Ka52 is often compared with F35.
Ka52,What is the BetterThan of Ka52?,Ka52 is better than older gen aircraft.
Ka52,What is the StealthCapable of Ka52?,Yes
Ka52,What is the DifferenceFrom of Ka52?,Ka52 differs from Su34 in design and avionics.
Ka52,What is the MannedOrUnmanned of Ka52?,Manned
Ka52,What is the InterestingFacts of Ka52?,Ka52 has unique stealth tech.
Ka52,What is the UniqueFeatures of Ka52?,Ka52 supports vertical takeoff or special radar systems.
JF17,What is the Name of JF17?,JF17 Name
JF17,What is the FullDesignation of JF17?,JF17 Full Designation
JF17,What is the Manufacturer of JF17?,Sukhoi
JF17,What is the FirstIntroduced of JF17?,1995
JF17,What is the CountryOfOrigin of JF17?,Russia
JF17,What is the MaxSpeed of JF17?,1321 km/h
JF17,What is the Range of JF17?,6497 km
JF17,What is the ServiceCeiling of JF17?,10231 m
JF17,What is the EngineType of JF17?,Turboprop
JF17,What is the Weight of JF17?,"79664 kg (empty), 144655 kg (max)"
JF17,What is the Dimensions of JF17?,"33 m length, 22 m wingspan"
JF17,What is the Role of JF17?,Fighter
JF17,What is the SurveillanceCapable of JF17?,Yes
JF17,What is the NuclearCapable of JF17?,No
JF17,What is the WeaponsPayload of JF17?,Bombs
JF17,What is the TransportCapacity of JF17?,13 personnel or 49601 kg cargo
JF17,What is the Operators of JF17?,"USA, UK"
JF17,What is the CombatHistory of JF17?,No
JF17,What is the NotableMissions of JF17?,JF17 participated in major operations.
JF17,What is the ActiveService of JF17?,No
JF17,What is the Comparison of JF17?,JF17 is often compared with F35.
JF17,What is the BetterThan of JF17?,JF17 is better than older gen aircraft.
JF17,What is the StealthCapable of JF17?,Yes
JF17,What is the DifferenceFrom of JF17?,JF17 differs from Su34 in design and avionics.
JF17,What is the MannedOrUnmanned of JF17?,Manned
JF17,What is the InterestingFacts of JF17?,JF17 has unique stealth tech.
JF17,What is the UniqueFeatures of JF17?,JF17 supports vertical takeoff or special radar systems.
C130,What is the Name of C130?,C130 Name
C130,What is the FullDesignation of C130?,C130 Full Designation
C130,What is the Manufacturer of C130?,Boeing
C130,What is the FirstIntroduced of C130?,1980
C130,What is the CountryOfOrigin of C130?,China
C130,What is the MaxSpeed of C130?,1188 km/h
C130,What is the Range of C130?,8175 km
C130,What is the ServiceCeiling of C130?,23770 m
C130,What is the EngineType of C130?,Turbojet
C130,What is the Weight of C130?,"47714 kg (empty), 110607 kg (max)"
C130,What is the Dimensions of C130?,"38 m length, 41 m wingspan"
C130,What is the Role of C130?,Bomber
C130,What is the SurveillanceCapable of C130?,No
C130,What is the NuclearCapable of C130?,No
C130,What is the WeaponsPayload of C130?,Machine Guns
C130,What is the TransportCapacity of C130?,94 personnel or 9829 kg cargo
C130,What is the Operators of C130?,Global
C130,What is the CombatHistory of C130?,Yes
C130,What is the NotableMissions of C130?,C130 participated in major operations.
C130,What is the ActiveService of C130?,Yes
C130,What is the Comparison of C130?,C130 is often compared with F35.
C130,What is the BetterThan of C130?,C130 is better than older gen aircraft.
C130,What is the StealthCapable of C130?,Yes
C130,What is the DifferenceFrom of C130?,C130 differs from Su34 in design and avionics.
C130,What is the MannedOrUnmanned of C130?,Manned
C130,What is the InterestingFacts of C130?,C130 has unique stealth tech.
C130,What is the UniqueFeatures of C130?,C130 supports vertical takeoff or special radar systems.
Rafale,What is the Name of Rafale?,Rafale Name
Rafale,What is the FullDesignation of Rafale?,Rafale Full Designation
Rafale,What is the Manufacturer of Rafale?,Chengdu
Rafale,What is the FirstIntroduced of Rafale?,1980
Rafale,What is the CountryOfOrigin of Rafale?,UK
Rafale,What is the MaxSpeed of Rafale?,2184 km/h
Rafale,What is the Range of Rafale?,3205 km
Rafale,What is the ServiceCeiling of Rafale?,15373 m
Rafale,What is the EngineType of Rafale?,Turbofan
Rafale,What is the Weight of Rafale?,"67335 kg (empty), 138798 kg (max)"
Rafale,What is the Dimensions of Rafale?,"22 m length, 52 m wingspan"
Rafale,What is the Role of Rafale?,Fighter
Rafale,What is the SurveillanceCapable of Rafale?,Yes
Rafale,What is the NuclearCapable of Rafale?,No
Rafale,What is the WeaponsPayload of Rafale?,Bombs
Rafale,What is the TransportCapacity of Rafale?,21 personnel or 24781 kg cargo
Rafale,What is the Operators of Rafale?,Global
Rafale,What is the CombatHistory of Rafale?,Yes
Rafale,What is the NotableMissions of Rafale?,Rafale participated in major operations.
Rafale,What is the ActiveService of Rafale?,Yes
Rafale,What is the Comparison of Rafale?,Rafale is often compared with F35.
Rafale,What is the BetterThan of Rafale?,Rafale is better than older gen aircraft.
Rafale,What is the StealthCapable of Rafale?,Yes
Rafale,What is the DifferenceFrom of Rafale?,Rafale differs from Su34 in design and avionics.
Rafale,What is the MannedOrUnmanned of Rafale?,Manned
Rafale,What is the InterestingFacts of Rafale?,Rafale has unique stealth tech.
Rafale,What is the UniqueFeatures of Rafale?,Rafale supports vertical takeoff or special radar systems.
KF21,What is the Name of KF21?,KF21 Name
KF21,What is the FullDesignation of KF21?,KF21 Full Designation
KF21,What is the Manufacturer of KF21?,Sukhoi
KF21,What is the FirstIntroduced of KF21?,2010
KF21,What is the CountryOfOrigin of KF21?,Russia
KF21,What is the MaxSpeed of KF21?,2151 km/h
KF21,What is the Range of KF21?,7553 km
KF21,What is the ServiceCeiling of KF21?,23036 m
KF21,What is the EngineType of KF21?,Rotary
KF21,What is the Weight of KF21?,"31842 kg (empty), 59036 kg (max)"
KF21,What is the Dimensions of KF21?,"38 m length, 19 m wingspan"
KF21,What is the Role of KF21?,Fighter
KF21,What is the SurveillanceCapable of KF21?,No
KF21,What is the NuclearCapable of KF21?,No
KF21,What is the WeaponsPayload of KF21?,Torpedoes
KF21,What is the TransportCapacity of KF21?,33 personnel or 14245 kg cargo
KF21,What is the Operators of KF21?,Global
KF21,What is the CombatHistory of KF21?,No
KF21,What is the NotableMissions of KF21?,KF21 participated in major operations.
KF21,What is the ActiveService of KF21?,Yes
KF21,What is the Comparison of KF21?,KF21 is often compared with F35.
KF21,What is the BetterThan of KF21?,KF21 is better than older gen aircraft.
KF21,What is the StealthCapable of KF21?,Yes
KF21,What is the DifferenceFrom of KF21?,KF21 differs from Su34 in design and avionics.
KF21,What is the MannedOrUnmanned of KF21?,Manned
KF21,What is the InterestingFacts of KF21?,KF21 has unique stealth tech.
KF21,What is the UniqueFeatures of KF21?,KF21 supports vertical takeoff or special radar systems.
Ka27,What is the Name of Ka27?,Ka27 Name
Ka27,What is the FullDesignation of Ka27?,Ka27 Full Designation
Ka27,What is the Manufacturer of Ka27?,Boeing
Ka27,What is the FirstIntroduced of Ka27?,2005
Ka27,What is the CountryOfOrigin of Ka27?,Russia
Ka27,What is the MaxSpeed of Ka27?,2697 km/h
Ka27,What is the Range of Ka27?,2131 km
Ka27,What is the ServiceCeiling of Ka27?,12459 m
Ka27,What is the EngineType of Ka27?,Turbofan
Ka27,What is the Weight of Ka27?,"35331 kg (empty), 89329 kg (max)"
Ka27,What is the Dimensions of Ka27?,"20 m length, 45 m wingspan"
Ka27,What is the Role of Ka27?,Reconnaissance
Ka27,What is the SurveillanceCapable of Ka27?,Yes
Ka27,What is the NuclearCapable of Ka27?,No
Ka27,What is the WeaponsPayload of Ka27?,Torpedoes
Ka27,What is the TransportCapacity of Ka27?,19 personnel or 20814 kg cargo
Ka27,What is the Operators of Ka27?,Global
Ka27,What is the CombatHistory of Ka27?,No
Ka27,What is the NotableMissions of Ka27?,Ka27 participated in major operations.
Ka27,What is the ActiveService of Ka27?,Yes
Ka27,What is the Comparison of Ka27?,Ka27 is often compared with F35.
Ka27,What is the BetterThan of Ka27?,Ka27 is better than older gen aircraft.
Ka27,What is the StealthCapable of Ka27?,No
Ka27,What is the DifferenceFrom of Ka27?,Ka27 differs from Su34 in design and avionics.
Ka27,What is the MannedOrUnmanned of Ka27?,Unmanned
Ka27,What is the InterestingFacts of Ka27?,Ka27 has unique stealth tech.
Ka27,What is the UniqueFeatures of Ka27?,Ka27 supports vertical takeoff or special radar systems.
KC135,What is the Name of KC135?,KC135 Name
KC135,What is the FullDesignation of KC135?,KC135 Full Designation
KC135,What is the Manufacturer of KC135?,Lockheed Martin
KC135,What is the FirstIntroduced of KC135?,1980
KC135,What is the CountryOfOrigin of KC135?,USA
KC135,What is the MaxSpeed of KC135?,2668 km/h
KC135,What is the Range of KC135?,12189 km
KC135,What is the ServiceCeiling of KC135?,24898 m
KC135,What is the EngineType of KC135?,Turboprop
KC135,What is the Weight of KC135?,"59372 kg (empty), 53486 kg (max)"
KC135,What is the Dimensions of KC135?,"14 m length, 60 m wingspan"
KC135,What is the Role of KC135?,Bomber
KC135,What is the SurveillanceCapable of KC135?,No
KC135,What is the NuclearCapable of KC135?,Yes
KC135,What is the WeaponsPayload of KC135?,Bombs
KC135,What is the TransportCapacity of KC135?,85 personnel or 28475 kg cargo
KC135,What is the Operators of KC135?,"France, Germany"
KC135,What is the CombatHistory of KC135?,Yes
KC135,What is the NotableMissions of KC135?,KC135 participated in major operations.
KC135,What is the ActiveService of KC135?,No
KC135,What is the Comparison of KC135?,KC135 is often compared with F35.
KC135,What is the BetterThan of KC135?,KC135 is better than older gen aircraft.
KC135,What is the StealthCapable of KC135?,No
KC135,What is the DifferenceFrom of KC135?,KC135 differs from Su34 in design and avionics.
KC135,What is the MannedOrUnmanned of KC135?,Manned
KC135,What is the InterestingFacts of KC135?,KC135 has unique stealth tech.
KC135,What is the UniqueFeatures of KC135?,KC135 supports vertical takeoff or special radar systems.
An225,What is the Name of An225?,An225 Name
An225,What is the FullDesignation of An225?,An225 Full Designation
An225,What is the Manufacturer of An225?,Airbus
An225,What is the FirstIntroduced of An225?,2010
An225,What is the CountryOfOrigin of An225?,China
An225,What is the MaxSpeed of An225?,2938 km/h
An225,What is the Range of An225?,2156 km
An225,What is the ServiceCeiling of An225?,22470 m
An225,What is the EngineType of An225?,Turbojet
An225,What is the Weight of An225?,"66228 kg (empty), 53793 kg (max)"
An225,What is the Dimensions of An225?,"12 m length, 44 m wingspan"
An225,What is the Role of An225?,Reconnaissance
An225,What is the SurveillanceCapable of An225?,Yes
An225,What is the NuclearCapable of An225?,No
An225,What is the WeaponsPayload of An225?,Missiles
An225,What is the TransportCapacity of An225?,77 personnel or 42817 kg cargo
An225,What is the Operators of An225?,"Russia, China"
An225,What is the CombatHistory of An225?,No
An225,What is the NotableMissions of An225?,An225 participated in major operations.
An225,What is the ActiveService of An225?,Yes
An225,What is the Comparison of An225?,An225 is often compared with F35.
An225,What is the BetterThan of An225?,An225 is better than older gen aircraft.
An225,What is the StealthCapable of An225?,Yes
An225,What is the DifferenceFrom of An225?,An225 differs from Su34 in design and avionics.
An225,What is the MannedOrUnmanned of An225?,Unmanned
An225,What is the InterestingFacts of An225?,An225 has unique stealth tech.
An225,What is the UniqueFeatures of An225?,An225 supports vertical takeoff or special radar systems.
P3,What is the Name of P3?,P3 Name
P3,What is the FullDesignation of P3?,P3 Full Designation
P3,What is the Manufacturer of P3?,Airbus
P3,What is the FirstIntroduced of P3?,2020
P3,What is the CountryOfOrigin of P3?,USA
P3,What is the MaxSpeed of P3?,956 km/h
P3,What is the Range of P3?,7122 km
P3,What is the ServiceCeiling of P3?,22700 m
P3,What is the EngineType of P3?,Turbojet
P3,What is the Weight of P3?,"31077 kg (empty), 131231 kg (max)"
P3,What is the Dimensions of P3?,"23 m length, 34 m wingspan"
P3,What is the Role of P3?,Transport
P3,What is the SurveillanceCapable of P3?,Yes
P3,What is the NuclearCapable of P3?,Yes
P3,What is the WeaponsPayload of P3?,Bombs
P3,What is the TransportCapacity of P3?,19 personnel or 4821 kg cargo
P3,What is the Operators of P3?,Global
P3,What is the CombatHistory of P3?,No
